순번,조문,제목,시작페이지,종료페이지,방식,파일명
211,제211조,권상용 와이어로프의 안전계수,106,106,card,211_제211조_권상용 와이어로프의 안전계수.pdf
212,제212조,권상용 와이어로프의 길이 등,106,106,card,212_제212조_권상용 와이어로프의 길이 등.pdf
213,제213조,널말뚝 등과의 연결,107,107,card,213_제213조_널말뚝 등과의 연결.pdf
214,제216조,도르래의 부착 등,107,107,card,214_제216조_도르래의 부착 등.pdf
215,제217조,사용 시의 조치 등,108,108,card,215_제217조_사용 시의 조치 등.pdf
216,제218조,말뚝 등을 끌어올릴 경우의 조치,108,108,card,216_제218조_말뚝 등을 끌어올릴 경우의 조치.pdf
217,제220조,항타기 등의 이동,109,109,card,217_제220조_항타기 등의 이동.pdf
218,제221조,가스배관 등의 손상 방지,109,109,card,218_제221조_가스배관 등의 손상 방지.pdf
219,제221조의2,충돌위험 방지조치,109,109,card,219_제221조의2_충돌위험 방지조치.pdf
220,제221조의3,좌석안전띠의 착용,109,109,card,220_제221조의3_좌석안전띠의 착용.pdf
221,제221조의4,잠금장치의 체결,110,110,card,221_제221조의4_잠금장치의 체결.pdf
222,제221조의5,인양작업 시 조치,110,110,card,222_제221조의5_인양작업 시 조치.pdf
223,제222조,교시 등,111,111,card,223_제222조_교시 등.pdf
224,제223조,운전 중 위험 방지,112,112,card,224_제223조_운전 중 위험 방지.pdf
225,제224조,수리 등 작업 시의 조치 등,112,112,card,225_제224조_수리 등 작업 시의 조치 등.pdf
226,제225조,위험물질 등의 제조 등 작업 시의 조치,114,114,card,226_제225조_위험물질 등의 제조 등 작업 시의 조치.pdf
227,제226조,물과의 접촉 금지,115,115,card,227_제226조_물과의 접촉 금지.pdf
228,제228조,가솔린이 남아 있는 설비에 등유 등의 주입,115,115,card,228_제228조_가솔린이 남아 있는 설비에 등유 등의 주입.pdf
229,제229조,산화에틸렌 등의 취급,115,115,card,229_제229조_산화에틸렌 등의 취급.pdf
230,제230조,폭발위험이 있는 장소의 설정 및 관리,116,116,card,230_제230조_폭발위험이 있는 장소의 설정 및 관리.pdf
231,제231조,인화성 액체 등을 수시로 취급하는 장소,116,116,card,231_제231조_인화성 액체 등을 수시로 취급하는 장소.pdf
232,제232조,폭발 또는 화재 등의 예방,117,117,card,232_제232조_폭발 또는 화재 등의 예방.pdf
233,제233조,가스용접 등의 작업,117,117,card,233_제233조_가스용접 등의 작업.pdf
234,제234조,가스등의 용기,118,118,card,234_제234조_가스등의 용기.pdf
235,제235조,서로 다른 물질의 접촉에 의한 발화 등의 방지,119,119,card,235_제235조_서로 다른 물질의 접촉에 의한 발화 등의 방지.pdf
236,제236조,화재 위험이 있는 작업의 장소 등,119,119,card,236_제236조_화재 위험이 있는 작업의 장소 등.pdf
237,제237조,자연발화의 방지,119,119,card,237_제237조_자연발화의 방지.pdf
238,제238조,유류 등이 묻어 있는 걸레 등의 처리,120,120,card,238_제238조_유류 등이 묻어 있는 걸레 등의 처리.pdf
239,제239조,위험물 등이 있는 장소에서 화기 등의 사용 금지,120,120,card,239_제239조_위험물 등이 있는 장소에서 화기 등의 사용 금지.pdf
240,제240조,유류 등이 있는 배관이나 용기의 용접 등,120,120,card,240_제240조_유류 등이 있는 배관이나 용기의 용접 등.pdf
241,제241조,화재위험작업 시의 준수사항,120,120,card,241_제241조_화재위험작업 시의 준수사항.pdf
242,제241조의2,화재감시자,121,121,card,242_제241조의2_화재감시자.pdf
243,제242조,화기사용 금지,122,122,card,243_제242조_화기사용 금지.pdf
244,제243조,소화설비,122,122,card,244_제243조_소화설비.pdf
245,제244조,방화조치,122,122,card,245_제244조_방화조치.pdf
246,제245조,화기사용 장소의 화재 방지,122,122,card,246_제245조_화기사용 장소의 화재 방지.pdf
